H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.233865815775316399e-01 1.025133175896924485e-09 1.003362719581195226e-15 1.702072706628612828e-12 6.267689891415035002e-04 6.505737384140898496e-05 2.038125746537485048e-03 1.013322886951527495e-07 2.349442494425671121e-04 1.731069022794018956e-06 6.621599680081124701e-05 3.458764737927989935e-06 1.855325854270406104e-04 6.120591941536776415e-07 9.520149523687909221e-05 3.729005302699490570e-07 2.260250473013571587e-05 4.762047267989901718e-07 2.171265703084009898e-05 2.325637548075827648e-09 2.037874486267959710e-07 1.249620172714430367e-08 1.603528872681002523e-06 9.207288165564190728e-07 1.860372515582693945e-04 2.938034691989866023e-07 1.336223560700941545e-05 2.245396065911001996e-08 6.806361938037462478e-08
1.000000000000000000e+00 3.229578736968768959e-01 1.023079810812735277e-09 5.360965274924020081e-17 1.677651504264960892e-12 3.286498193857232569e-04 2.171226325685835456e-05 1.724148800391716013e-03 1.383985021542577401e-08 4.699216582568976550e-04 3.282860859989411081e-06 1.643164714729315138e-04 6.633011384901135972e-06 1.759967856517731175e-04 5.872645062311295290e-07 7.918745772201789366e-05 1.378770442239660315e-07 1.329465957420722751e-05 5.938379701129775429e-08 1.061443225842301533e-05 5.349884222354295732e-10 2.118841623013226258e-07 1.987359789277460285e-08 2.964143565103756963e-06 1.010679266605164892e-06 1.917971274682560366e-04 2.416160729284782961e-07 6.560295809718466943e-06 2.845688704819189820e-08 1.423883602828876166e-07
1.000000000000000000e+00 3.229574770280317364e-01 1.023084272079572327e-09 5.361765244161337243e-17 1.583866744164741749e-12 3.267399567506627887e-04 2.157490692085162006e-05 1.692825515893633167e-03 1.377121431612437414e-08 4.348202192548701606e-04 3.053603514781712852e-06 1.647437390843094511e-04 6.569035535421751219e-06 1.755524205020814405e-04 6.048095542311056844e-07 7.699230040455257629e-05 1.445779105003787616e-07 1.277389700555544507e-05 6.085480275895122958e-08 1.007307541119858689e-05 5.375434891542430023e-10 2.244739735410696220e-07 2.370469930606329141e-08 2.705808264986717901e-06 9.686332191951727386e-07 2.003014947541181866e-04 3.029924069788684718e-07 7.433776071543459727e-06 3.016249960106527906e-08 2.163927316148296655e-07
1.000000000000000000e+00 3.229576357482670246e-01 1.023087746762617056e-09 5.362065113428493004e-17 1.486086939748832294e-12 3.248529065335832122e-04 2.143868137353148725e-05 1.661468463430340039e-03 1.370187988526321223e-08 3.993459616246307874e-04 2.825035059614122888e-06 1.652151934898816381e-04 6.507199043142663382e-06 1.750042084880640053e-04 6.221102908540024368e-07 7.467863062973317248e-05 1.511476353720365349e-07 1.223146310693623601e-05 6.232287418055092368e-08 9.506581318151808587e-06 5.395107512169082702e-10 2.368527376321629585e-07 2.732165642916495016e-08 2.436591704055457017e-06 9.242184998161207526e-07 2.085706058031190852e-04 3.616328809107606964e-07 8.269990622142946643e-06 3.182253507551612439e-08 2.882499909373815781e-07
1.000000000000000000e+00 3.233484800128970660e-01 1.048856824662673943e-09 5.355524574659536597e-17 1.521739916064204419e-12 4.411932586410205904e-04 1.694487071954963310e-04 1.646905550196777835e-03 5.167555400645819186e-08 4.759394992333575462e-04 3.801662348180541007e-06 1.634362175609223333e-04 6.853709492116544364e-06 1.728453800820725617e-04 5.649035933168305496e-07 7.695238201679805530e-05 1.223407066416476166e-07 1.261091801153946940e-05 5.100657432954946205e-08 1.010313001615097719e-05 4.494692615648564693e-10 2.042249846070360999e-07 1.939664693397299583e-08 2.871480145067766690e-06 9.479332473058061758e-07 1.905578848991573660e-04 2.554647644012698505e-07 6.705687439959182527e-06 2.749527447325082743e-08 1.457261658483354527e-07
1.000000000000000000e+00 3.233491523535759748e-01 1.048875597885549590e-09 5.355485012435130428e-17 1.505110071977372059e-12 4.395965380101741690e-04 1.689964776067803029e-04 1.614582649598599777e-03 5.170327413272496523e-08 4.402191143496346276e-04 3.539252116539914561e-06 1.635123277552541325e-04 6.760787397477038420e-06 1.727101305707946734e-04 5.848510061697831443e-07 7.513999135076940565e-05 1.297716940128391474e-07 1.218789248844926255e-05 5.298091236165458185e-08 9.650843730019765531e-06 4.566699121449173767e-10 2.153806104260491579e-07 2.271162333898632840e-08 2.629374542607177732e-06 9.079551489376356815e-07 1.976438129434161751e-04 3.114097024049212796e-07 7.531322687664987809e-06 2.888652267969916226e-08 2.129302845481452348e-07
1.000000000000000000e+00 3.233504571191513910e-01 1.048897593368608862e-09 5.355435707326255694e-17 1.481878900185619767e-12 4.380257345733116646e-04 1.685328411767820838e-04 1.582495870953951273e-03 5.173754924352131883e-08 4.035164832505044223e-04 3.272034253792636306e-06 1.636189533447516978e-04 6.667090958400419262e-06 1.724489726579898354e-04 6.044198344472899772e-07 7.315399002443897126e-05 1.369868734474562422e-07 1.171989055874830285e-05 5.482837834040131380e-08 9.150914625196933391e-06 4.626018529409525271e-10 2.251869591732881711e-07 2.558656233472368937e-08 2.369500071533082172e-06 8.653930556707442282e-07 2.040232431038779923e-04 3.610620087335044960e-07 8.242093168582117495e-06 3.013287477303528418e-08 2.721797292493802795e-07
1.000000000000000000e+00 3.237930452563602124e-01 1.050407885632109796e-09 1.420912748331503321e-15 1.741251455249262021e-12 6.464026811718483331e-04 1.514192262760575647e-04 1.077902245313031547e-03 5.060416194903696544e-08 2.282006094201906256e-04 1.882670905845115063e-06 6.494443296212335447e-05 2.970386677803976384e-06 1.361533245960149928e-04 4.535478780750248449e-07 4.866497372279557072e-05 1.213058417116042309e-07 8.847196952456107475e-06 7.196631548875368250e-08 7.187516733952616275e-06 4.364337246103833109e-10 1.344916745610678938e-07 8.014403292494688558e-09 1.361172924517045664e-06 7.967343217732358559e-07 1.817719520303337499e-04 2.969768636410220464e-07 1.319855203554725857e-05 7.085122140225800923e-09 3.893289421784799466e-08
1.000000000000000000e+00 3.236882731254125956e-01 1.053161562803768837e-09 2.401107034950133758e-16 1.605650825360816952e-12 8.849817373944248887e-04 2.845479531728211200e-04 3.148277812697375215e-03 2.263040647447914978e-07 2.487436457810486990e-04 2.105646269444522286e-06 6.670825157325109447e-05 3.987414494922730156e-06 2.417656359804323395e-04 9.116456482376073297e-07 1.490052596217533633e-04 6.603754078703011571e-07 3.696136769777489105e-05 8.319492345873005733e-07 3.813968002721894506e-05 5.300737050697838857e-09 2.529596766721980935e-07 1.600579551036171485e-08 1.739294153172272826e-06 9.268777971963123806e-07 1.858783387136318202e-04 3.133727420152695690e-07 1.371827161303942246e-05 4.635089760883267070e-08 1.168383897660154092e-07
